Bone lengths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
head,172.4272,204.06291,239.3218,260.31366,120.306,136.81131,158.17107,160.5152,171.2191,150.21767,148.61226,150.78873,148.06857,139.83054,143.00475,170.15337,238.61418,197.49779,195.48238,204.31935,187.89807,186.07759,184.64146,189.8731,197.71396,196.70488,190.23608,188.37732,187.17682,184.77332,182.9233,169.04561,165.12,163.90254,164.21796,171.51393,177.8643,194.74205,191.98225,188.27666,183.63832,207.87657,202.4588,207.79578,209.97922,221.10489,219.15628,217.75961,232.04918,230.34985,224.74214,222.48027,224.91298,227.61087,234.16876,243.03542,250.31198,230.04489,236.85007,242.54143,231.09608,230.75977,217.48038,217.6542,218.7366,220.16452,216.46324,210.85893,211.12494,214.17429,213.77103,215.00244,215.30359,214.83633,214.39275,214.13551,213.30174,212.97041,213.23328,212.69897,212.23065,219.71928,219.7865,217.22572,218.64833,227.88206,232.01584,230.13652,225.83905,224.1582,219.90407,224.75005,226.45154,225.71574,216.84056,204.40118,200.6422,214.28427,207.48335,202.26921,208.74397,237.48177,227.7811,234.37608,239.39731,238.02086,238.17181,236.20198,243.81581,242.96733,247.67401,246.43506,239.37741,233.76286,234.49448,229.4249,227.43806,218.44583,224.4355,241.37248,223.79573,233.94604,243.61568,249.33315,266.49826,256.18445,251.19579,262.34167,263.38852,277.7655,268.4186,263.94363,254.94104,255.5834,247.61595,251.99863,249.85574,245.87688,273.71088,277.0296,276.19962,230.8578,269.84845,262.65195,242.96582,234.23972,242.98479,237.37508,237.74303,251.73303,249.98642,240.42162,245.87425,255.2518,241.4862,243.3705,240.78539,243.50307,235.97133,234.8366,235.89641,241.1442,241.445,240.15067,245.95976,248.8448,252.6938,250.40462,249.79388,248.90807,230.61871,221.51437,256.91068,235.72209,225.20332,219.28879,218.44188,220.20702,220.30669,216.44687,215.73218,214.67409,214.88919,214.41966,215.7326,216.09468,215.96895,216.45605,216.19289,217.29726,217.54419,218.39438,217.27592,215.51012,215.98499,216.3918,218.35237,218.20317,216.55165,215.13663,215.16037,216.19455,215.24745,215.74619,214.8519,214.25423,215.8769,216.86627,217.21652,216.66899,214.92639
Lshoulder,121.60295,118.45815,98.61763,102.0688,103.710815,105.010735,114.80463,118.96594,118.25226,146.11856,140.50029,134.24738,117.08837,112.612404,120.542496,108.96112,88.548485,155.6746,194.54338,137.93611,133.23805,131.01967,131.17809,132.59897,136.29066,139.78868,151.6861,166.15082,177.53583,180.48952,184.45528,182.11914,178.8016,174.22977,170.38228,164.61563,159.63356,143.324,137.05641,139.1193,125.90345,124.881386,137.00055,147.82217,141.40645,146.09111,170.3055,126.02922,139.06139,145.30392,149.32858,149.62083,144.75343,140.6451,147.15598,147.29454,154.8494,143.04492,163.68024,164.33086,173.92317,177.14577,202.1499,183.78273,180.70631,181.73392,184.4847,189.55971,192.4813,190.34824,190.95207,189.09065,187.28476,186.01854,184.86537,184.9571,184.93251,184.92642,184.8062,183.7142,182.84665,193.65561,189.72816,181.21828,175.14337,177.28816,182.84369,174.31439,171.60368,173.40082,169.32663,165.54648,166.07057,158.32874,154.76268,149.45953,149.64937,141.25015,152.85703,154.28015,152.73708,156.78947,151.39348,156.2472,157.13058,154.02144,155.8978,171.4208,176.93172,180.37282,180.53,183.80722,109.383644,117.316,130.52982,136.27042,148.90887,148.18748,150.76355,80.09185,161.37329,165.85712,176.8184,181.86732,176.06255,172.09981,173.04436,169.70393,164.79147,193.71294,179.32715,171.69553,167.38202,151.74411,146.93365,151.07689,158.65637,152.69307,84.11544,84.222664,85.42092,125.44718,134.36447,135.54802,155.45895,155.08669,148.29697,151.49506,155.42592,151.78154,147.90948,152.62541,170.61739,173.64198,174.03882,175.7716,170.2802,172.35207,180.4137,175.1872,173.1417,172.19405,172.1184,171.76312,172.87883,173.64526,177.94978,178.02242,177.64532,177.00217,175.8901,175.65172,175.29997,174.76347,174.87509,175.20692,175.36432,175.18568,174.92159,174.17384,174.16446,174.76244,175.07082,175.2108,175.2757,175.29738,175.35333,175.41328,175.15126,174.67186,174.33366,173.85085,174.31906,174.78952,175.08183,175.30061,175.38083,175.42725,175.4927,175.5059,175.24222,174.60892,173.64624,173.77399,174.12408,174.5016,174.72147,175.09622,175.31367,175.42258,175.236
Larm,251.04027,261.62506,268.88104,266.0463,257.73166,256.17456,270.3389,260.7234,259.09616,255.69957,248.35226,242.62988,278.03833,261.18274,241.75801,221.17734,203.75967,204.9192,245.40172,289.2621,269.88416,259.62164,252.06862,244.80507,241.01271,239.24222,238.61823,241.91362,244.52882,267.83603,268.3543,231.1992,234.47194,226.67567,227.09447,229.57356,232.77684,233.50446,237.98553,204.30261,284.41895,269.10773,253.28406,230.19922,237.10487,197.19144,219.98412,248.35405,244.64243,239.31198,234.6096,230.74016,234.57986,290.55606,270.67767,269.54755,251.50986,255.54474,235.63272,263.5595,252.51047,257.35458,263.4324,260.952,265.49503,265.2915,261.29007,261.77396,263.63345,264.71286,261.43808,260.8777,264.17755,262.7255,260.4423,260.51263,263.25198,265.99985,274.58755,279.5709,284.596,275.88248,276.06375,276.90445,274.37973,278.39905,261.92825,281.7168,240.0404,240.80797,230.40431,223.60602,224.91228,211.32623,237.71129,237.71135,235.17847,241.1367,279.54495,275.39877,285.22906,293.07858,280.97452,277.59967,260.3711,259.1503,307.06613,269.0198,263.18628,272.1313,290.049,281.22787,316.8553,303.03717,284.29834,252.64822,248.83076,263.60934,240.77841,232.48468,228.21991,230.62637,245.29704,269.9756,284.29462,287.66315,276.11353,266.1112,257.6837,257.19156,267.57654,247.01627,240.07768,238.88435,263.1194,267.2065,251.54968,243.48297,235.28284,232.41643,232.6689,346.70706,346.64676,329.93387,285.04846,266.85654,276.15234,265.44632,262.52353,236.59622,246.51591,254.42822,230.38196,279.90787,241.78345,226.0827,224.0815,238.5509,247.64568,255.56476,242.02364,235.74466,243.27036,285.5793,259.26492,232.88678,228.83217,230.60484,238.90479,247.87534,391.22363,288.4721,326.79498,306.783,298.05624,299.01642,297.8744,295.5666,291.72946,278.80164,278.1915,284.42282,291.09348,297.13138,303.60995,310.9963,324.19208,328.52444,317.7195,318.95346,312.51718,315.85907,323.96756,323.98346,328.10843,330.6023,349.08887,361.845,358.1884,358.03452,361.11157,362.60776,362.93866,366.81274,369.3936,356.46262,357.91605,346.11438,345.9212,343.25797,345.49655
Lforearm,251.04025,268.7977,264.29514,267.4538,322.21756,355.25613,404.6744,398.38412,399.12906,465.06445,325.06195,260.3507,231.42123,203.11537,192.0111,177.96751,201.2996,211.48094,233.52803,222.48077,229.83951,239.46327,252.35793,261.1017,268.5222,275.98398,283.56464,281.80334,280.93607,276.1789,270.18423,228.26498,237.46747,257.94446,238.16808,228.21056,235.21461,239.32074,248.29665,192.70575,135.81898,177.23528,292.94565,329.9136,366.41708,265.68195,310.78735,309.24066,322.8492,340.45807,319.52603,317.88876,314.0176,308.751,313.70615,309.49686,301.53833,279.06595,338.73816,370.15204,362.94693,337.82605,302.7428,318.95724,311.06326,313.06247,311.63574,312.42834,304.17285,303.48163,296.0175,301.79907,315.54593,297.16684,302.2997,313.012,316.56265,316.54132,302.3664,306.0971,329.3765,302.611,334.55286,347.1675,257.71,323.80362,253.88684,301.3086,341.64795,341.33154,340.4924,265.48492,339.17908,379.00632,353.72333,289.5161,459.2434,373.78156,317.85284,404.75995,381.38885,379.03598,369.64792,357.8154,376.95914,409.26788,283.66385,344.77008,321.37317,361.61078,376.12262,339.90186,379.96265,385.22015,375.79037,283.492,279.38318,426.80313,358.89725,321.96692,382.7551,408.7203,375.79733,350.4035,273.55075,294.27875,336.65173,282.12054,279.14597,306.3559,311.24344,314.47736,313.0583,315.25482,305.61865,281.4771,286.0197,280.79797,275.3661,308.14157,276.27365,344.80002,319.57632,293.1272,468.55597,545.11346,370.05362,287.88293,368.52698,307.40274,361.1177,351.86917,370.14322,226.50157,358.55057,329.30902,356.71152,357.40732,305.57318,290.21167,297.44666,301.44223,312.16788,305.94693,319.7499,381.43988,352.53137,354.24103,345.06183,320.46555,160.23285,288.47202,235.19925,250.40883,259.7198,274.65698,285.31995,298.7167,305.9652,313.37863,310.37262,313.37732,314.41995,309.94037,301.73853,295.57867,288.39972,291.33356,296.89496,304.3558,309.22818,305.56616,302.09622,302.0582,301.3543,298.07776,287.38446,283.9113,284.28543,283.67188,286.3914,287.04578,286.76196,288.23343,288.82947,286.16605,287.05338,285.39575,282.77698,282.09396,282.60947
Rshoulder,121.60297,118.45816,98.61763,102.06882,103.71082,105.01074,114.80461,118.96596,118.25225,146.11858,140.50029,134.24738,117.08837,112.612404,120.5425,108.96112,88.548485,155.67462,194.54329,137.93636,133.23805,131.02003,131.17796,132.59897,136.29068,139.78868,151.6861,166.15082,177.53583,180.48964,184.4554,182.11925,178.8016,174.22977,170.38242,164.61563,159.63344,143.324,137.05641,139.11952,125.903366,124.881386,137.00052,147.82219,141.40643,146.09111,170.3055,126.029236,139.06139,145.30392,149.32858,149.6208,144.75343,140.6451,147.15593,147.29456,154.8494,143.0449,163.68022,164.33086,173.92316,177.14578,202.14989,183.78273,180.70631,181.73392,184.4847,189.5597,192.48128,190.34827,190.9521,189.09062,187.28479,186.01852,184.86537,184.9571,184.93248,184.92642,184.80621,183.7142,182.84665,193.65561,189.72818,181.21832,175.14337,177.28816,182.84369,174.31442,171.60368,173.40082,169.32663,165.54645,166.07057,158.3287,154.76268,149.45953,149.64937,141.25017,152.85703,154.28015,152.73708,156.78947,151.3935,156.2472,157.13058,154.02144,155.8978,171.4208,176.93172,180.37282,180.53,183.80722,109.383644,117.315994,130.52982,136.27042,148.90887,148.18748,150.76355,80.09183,161.37329,165.8571,176.8184,181.8673,176.06255,172.09981,173.04436,169.70393,164.79147,193.7129,179.32715,171.69553,167.38202,151.74411,146.93369,151.0769,158.65637,152.69308,84.11545,84.222664,85.42094,125.44718,134.36447,135.54802,155.45897,155.08669,148.29697,151.49506,155.42592,151.78154,147.90948,152.62543,170.61737,173.64197,174.03882,175.7716,170.28018,172.35208,180.41371,175.1872,173.1417,172.19403,172.11841,171.76314,172.87883,173.64526,177.94975,178.02242,177.64532,177.00214,175.8901,175.65172,175.29997,174.76347,174.8751,175.20691,175.36429,175.18568,174.92155,174.17384,174.16449,174.76244,175.07083,175.2108,175.2757,175.29738,175.35333,175.41327,175.15126,174.67186,174.33366,173.85085,174.31906,174.78952,175.0818,175.30061,175.38083,175.42725,175.49272,175.5059,175.24222,174.6089,173.64624,173.77399,174.12408,174.5016,174.72147,175.09622,175.31367,175.42256,175.236
Rarm,251.04028,252.91898,253.32828,255.40038,255.40039,255.56432,254.39342,251.64716,250.42215,248.20738,248.19131,190.08896,202.06407,214.23268,211.63928,213.59805,207.47124,215.30327,212.80463,165.21283,230.88861,252.64635,257.8378,239.6948,241.21634,253.20746,264.84116,275.6552,311.1782,307.4004,323.82275,297.99536,274.3683,284.30725,292.58038,289.04556,287.74213,273.4316,261.285,184.18217,212.35814,221.10196,249.18571,239.12926,246.90741,271.1956,235.34952,240.85599,272.77512,260.18573,247.96625,251.29402,257.52405,249.62163,254.29468,247.59622,267.2093,291.08838,263.9726,276.14874,283.65552,285.51154,295.3623,253.96758,273.4741,279.5039,281.0512,273.4299,260.23993,256.7149,260.2258,261.5936,262.48163,263.76276,267.5464,270.13556,270.05624,271.87622,272.77005,273.36093,268.9702,274.20645,253.5803,261.58136,272.89215,273.74826,279.75107,273.45395,265.7803,269.09616,273.98056,270.37823,265.49704,246.892,226.63548,236.73412,250.01865,241.78166,185.03725,203.49931,171.6704,155.54251,148.39365,148.61215,100.65259,113.16481,131.75826,151.39355,170.02411,161.30835,173.07002,112.27655,125.04285,298.8692,294.46832,294.80112,289.40442,284.5371,284.53717,284.5371,253.108,255.85469,257.85168,270.22925,274.96118,282.40118,248.33034,256.40332,233.97299,123.30213,115.91104,123.5656,285.10294,198.38681,218.21446,229.24504,224.81853,240.23943,235.38647,319.35226,334.07095,334.2478,287.76022,254.12735,278.74893,263.12732,277.9205,269.9174,250.61676,211.17622,231.05156,249.80118,255.46935,254.60913,254.0709,208.06853,227.79839,242.18004,235.78906,229.61926,236.76767,233.24486,232.86964,234.9442,247.65141,218.12689,253.60463,251.30363,252.979,258.66718,416.55432,288.47208,338.77396,341.59354,341.1047,344.0399,342.81683,345.02548,349.88614,321.4278,319.71506,315.9319,305.6753,301.82687,299.18997,305.2589,311.73877,320.18796,317.75644,319.44824,315.33505,308.2076,317.03745,323.31155,333.64105,329.13406,322.32327,310.95026,308.42584,303.31705,300.68265,315.26147,318.0818,317.0043,332.48587,335.2847,341.64603,334.53015,328.97168,313.5246,303.81702
Rforearm,251.04027,252.91902,253.3283,255.40042,255.40038,255.56429,254.3934,251.64719,250.42221,248.20741,248.19138,229.37267,221.94218,222.73123,227.51053,209.78218,207.02678,197.47888,193.27484,172.41756,150.54768,157.12402,217.4212,206.70428,216.27934,223.80315,281.5893,258.6498,337.56094,320.48035,291.83267,186.5429,188.42838,178.54243,160.41957,161.91519,179.14638,190.73503,255.63687,297.3329,295.1467,617.54047,184.82005,301.7207,298.26514,288.0136,320.3542,356.41278,293.3782,349.79846,350.9438,329.5894,292.67004,255.85083,271.23407,254.64583,269.13263,286.64877,322.43695,345.55008,337.78824,307.86697,312.91046,335.40567,315.98325,317.33328,342.94742,323.49017,341.28775,348.35916,339.42804,342.24597,335.52982,344.61246,333.2108,343.13657,351.84213,348.5227,335.11642,335.65756,332.0979,312.9252,310.49936,313.83887,320.46536,329.9963,336.90985,343.8002,352.13266,358.31476,348.2249,329.83633,338.62045,363.7631,367.24097,382.17343,369.9711,349.19934,424.54898,421.16986,497.90433,499.08572,435.02753,440.09222,556.0867,462.88718,381.02365,293.26956,222.11195,168.72217,139.78038,177.06174,141.79901,329.86414,270.0328,239.2818,210.96974,284.5371,284.5371,284.53714,336.56824,350.93295,340.85184,321.62338,278.13562,307.04178,344.62933,361.8448,321.08737,273.09897,291.70746,292.42703,204.49472,321.6921,340.47916,317.55878,138.97443,252.1429,208.91794,317.22543,328.1695,315.41595,352.97946,325.39258,312.76257,358.37698,351.26053,311.12668,294.58594,194.26204,251.44136,426.29608,384.29388,320.31934,298.67868,367.33664,354.40332,344.24323,356.16382,319.82156,364.51617,267.5741,258.16055,323.84317,304.49774,301.98676,295.37628,293.23636,295.82297,297.2599,148.63,288.47208,249.75412,275.1255,290.4473,302.08353,307.42426,312.07385,316.56885,306.99673,306.31177,309.8959,315.08984,326.2713,328.82172,326.37274,322.30438,321.16562,315.07898,304.4056,300.46622,301.95526,301.75842,306.1658,314.24966,321.5193,324.61322,324.5121,323.0842,317.93155,312.15048,309.62958,304.90594,307.80872,309.04834,333.30972,330.4248,331.2698,324.03058,321.44458,323.70578
torso,234.74747,226.88617,215.47371,212.49483,258.5173,251.31552,249.4062,239.1268,235.69911,233.21494,200.94637,194.2267,195.74123,196.96558,195.53731,194.94019,202.63318,213.74702,211.63388,210.12616,205.25168,205.2191,215.59964,217.00041,218.70203,221.51474,225.69199,229.04066,226.0115,226.36543,226.92693,227.04411,223.40579,224.27701,222.74393,222.18256,221.93318,220.69589,219.97896,218.73404,226.8506,223.89044,222.79494,221.42664,218.7614,216.98994,216.56596,215.2158,209.81802,209.12434,210.86153,212.00677,211.77487,210.30824,208.48058,206.6866,206.07788,216.60904,215.10321,217.43727,227.74155,231.07538,230.15315,228.10014,225.31055,226.831,229.98407,231.22815,233.41391,233.60187,232.14915,231.60411,231.81554,232.18245,231.61328,231.20464,229.27943,228.82892,228.51633,228.30133,228.04149,226.00496,227.76756,225.32878,225.16685,227.54694,228.08395,222.37688,222.9211,220.783,218.76085,217.5938,219.63106,222.46475,219.75966,228.62479,233.32074,233.11635,230.85968,232.65944,235.10454,224.86693,230.74678,228.93996,229.14752,228.91399,228.81786,227.49367,224.64825,222.1666,222.706,223.1529,227.27365,228.13036,223.36176,219.85632,212.62103,213.76854,214.52133,220.77066,219.89432,217.23196,222.43045,229.89513,228.78784,229.08568,224.66875,220.37737,225.66718,211.64496,211.92467,218.05875,221.71304,227.28212,226.98817,218.71146,218.88602,221.45024,213.45694,213.1765,214.94337,214.23257,215.84465,217.72664,220.90814,224.1826,220.25835,219.1248,220.67793,215.3743,221.24995,224.8811,230.7362,226.38745,226.56577,218.06863,214.97083,211.70338,211.45143,209.79366,209.5396,207.98195,207.74934,208.71642,210.96138,213.48744,211.56143,214.63794,217.8762,217.29497,218.93668,219.74287,220.1528,219.96745,220.16673,220.33273,220.41406,220.42697,220.44148,220.4849,220.45619,220.5161,220.4477,220.38731,220.43855,220.45229,220.48555,220.53502,220.23497,220.36726,220.41393,220.40553,220.4379,220.46854,220.48781,220.50989,220.49197,220.50029,220.54457,220.56,220.51567,220.55003,220.51599,220.50578,220.49667,220.50511,220.51147,220.51735,220.55472,220.57144,220.53406
Lhip,264.5209,252.60791,239.37015,230.08879,278.79996,272.18054,269.9896,260.14023,256.27386,251.81563,227.55678,221.55888,222.56369,220.73482,211.83508,202.01639,206.57372,220.82181,218.43643,213.87021,206.90512,206.86572,226.655,228.55602,230.92952,238.17003,249.9914,273.49936,271.59415,270.43994,274.37796,272.45346,262.256,259.27942,255.36086,251.91457,249.14102,244.25125,235.88774,231.04736,240.17714,239.41629,241.24335,239.93648,238.83315,239.0049,238.02122,234.2212,228.49559,227.28706,229.03246,230.2048,230.04811,227.52847,225.12306,225.1746,225.2468,236.7889,235.76846,239.479,252.50668,249.14618,251.68178,248.66824,247.2393,250.58952,255.51987,254.52509,255.39075,255.21082,253.32928,253.554,254.4243,255.16818,254.96405,254.54507,253.28275,252.79556,251.82971,251.7627,252.57874,250.93956,249.46288,248.8398,249.52013,249.99178,250.6539,247.09795,243.64171,241.84015,238.65413,236.65125,239.1923,240.10938,235.49286,241.25517,244.83118,246.23215,246.02643,251.19592,254.03311,243.27254,240.01584,236.4991,236.6603,237.03105,238.50452,244.01306,246.85455,246.78937,246.30644,245.65753,243.47485,241.80746,235.19286,226.0048,218.81915,222.47975,214.64587,234.76549,236.74179,237.91791,247.45477,251.47946,253.36502,253.30524,248.25488,246.14774,247.39384,234.11272,231.941,239.27342,239.7813,243.06685,240.9861,233.26416,233.91429,234.42726,221.62666,219.49358,219.77127,216.65727,220.61299,221.71031,227.18474,232.50784,233.13496,234.15768,233.66849,229.59685,234.29106,244.31136,250.56311,250.5684,250.20192,242.99422,240.51431,237.49774,234.8952,232.2017,231.23352,227.15958,226.85086,226.24573,232.47173,236.1711,234.4586,239.2459,241.14809,239.75142,241.0643,241.74377,242.30655,242.0956,242.32141,242.54321,242.70111,242.74812,242.71573,242.6911,242.48494,242.53813,242.62152,242.64197,242.7228,242.75111,242.78667,242.84518,242.58731,242.8837,242.69566,242.54604,242.42722,242.5515,242.67432,242.7609,242.85179,242.84991,242.88675,242.90924,243.60036,243.22118,242.81168,242.5616,242.53456,242.58496,242.65413,242.69632,242.8113,242.87375,242.86359
Lthigh,383.9439,509.77454,495.05234,467.96484,415.472,405.93256,397.7591,370.5004,372.5813,373.65,373.5871,372.4548,371.11078,368.99936,368.236,342.97232,319.11307,394.82336,401.99124,404.14523,404.45502,432.7376,386.78452,386.31223,383.27548,397.01123,404.2318,413.88287,420.27783,417.18262,415.739,416.58197,415.8163,414.72073,425.87988,431.09924,443.01694,437.64966,425.1695,414.6111,409.25082,409.14188,403.4384,416.4318,420.66003,407.85776,417.61792,409.28903,410.6138,409.11133,412.3389,413.1374,413.03656,415.24503,409.25937,418.2505,422.49133,418.63394,425.83942,406.6606,423.6151,433.41168,431.98022,449.46527,444.2616,440.6973,439.38223,446.83694,447.71,444.45883,443.0082,444.07776,441.41025,441.5734,440.20935,442.3937,447.05515,445.87625,445.7301,448.92422,463.07983,467.42075,456.82108,457.226,451.88403,449.732,444.83484,445.8238,443.21982,435.2976,452.8466,451.28818,442.8033,440.67047,439.4834,433.6796,435.50235,451.54242,464.15375,461.84555,442.24042,432.29813,448.8028,451.52945,444.92175,443.19363,452.82965,448.544,454.17697,457.55676,454.10846,453.60486,449.7907,452.0893,452.94302,490.35135,494.34323,496.70596,482.49255,470.717,461.5454,464.87857,472.53302,452.84796,431.59717,435.14832,458.35822,452.7304,443.00565,458.01776,467.0878,465.64114,464.24536,467.15195,477.57812,475.9878,465.91183,459.81516,451.14825,452.40536,452.39188,451.35007,400.00183,405.9007,412.28574,416.76407,437.83926,446.4608,454.0335,462.20242,477.4353,465.59067,462.0516,461.40057,461.04816,463.975,470.69806,472.2552,465.4606,466.09967,454.37698,450.10355,456.71967,445.55835,442.71844,439.374,441.49527,448.83606,441.40457,445.8603,440.47888,434.47205,437.33215,452.07773,446.4147,443.3062,441.7069,440.9809,440.9047,440.7114,440.46686,440.5548,440.49768,440.46844,439.939,438.31384,439.13846,438.34174,439.22144,439.5851,440.22897,440.27115,440.55817,440.35236,440.3117,440.3109,440.28387,439.74878,439.6974,439.5043,438.0249,439.5921,440.04382,439.69492,439.2076,439.59534,439.17767,440.06818,440.57956,440.32806,440.37418
